dates,label,Year,Month,Yearmonth
"Sep 23, 2018",1,2018,Sep,2018-09-01
"Sep 22, 2018",1,2018,Sep,2018-09-01
"Sep 22, 2018",1,2018,Sep,2018-09-01
"Sep 21, 2018",1,2018,Sep,2018-09-01
"Aug 31, 2018",1,2018,Aug,2018-08-01
"Sep 6, 2018",1,2018,Sep,2018-09-01
"Sep 6, 2018",1,2018,Sep,2018-09-01
"Sep 6, 2018",1,2018,Sep,2018-09-01
"Sep 20, 2018",1,2018,Sep,2018-09-01
"Sep 19, 2018",1,2018,Sep,2018-09-01
"Sep 19, 2018",1,2018,Sep,2018-09-01
"Sep 4, 2018",1,2018,Sep,2018-09-01
"Sep 4, 2018",1,2018,Sep,2018-09-01
"Sep 18, 2018",1,2018,Sep,2018-09-01
"Sep 17, 2018",1,2018,Sep,2018-09-01
"Sep 1, 2018",1,2018,Sep,2018-09-01
"Aug 28, 2018",1,2018,Aug,2018-08-01
"Aug 31, 2018",1,2018,Aug,2018-08-01
"Aug 30, 2018",1,2018,Aug,2018-08-01
"Aug 30, 2018",1,2018,Aug,2018-08-01
"Sep 7, 2018",1,2018,Sep,2018-09-01
"Aug 29, 2018",1,2018,Aug,2018-08-01
"Aug 29, 2018",1,2018,Aug,2018-08-01
"Sep 1, 2018",0,2018,Sep,2018-09-01
"Aug 25, 2018",1,2018,Aug,2018-08-01
"Aug 28, 2018",1,2018,Aug,2018-08-01
"Sep 11, 2018",1,2018,Sep,2018-09-01
"Aug 24, 2018",1,2018,Aug,2018-08-01
"Sep 27, 2018",0,2018,Sep,2018-09-01
"Aug 27, 2018",1,2018,Aug,2018-08-01
"Sep 10, 2018",1,2018,Sep,2018-09-01
"Aug 26, 2018",1,2018,Aug,2018-08-01
"Aug 26, 2018",1,2018,Aug,2018-08-01
"Aug 26, 2018",1,2018,Aug,2018-08-01
"Sep 7, 2018",1,2018,Sep,2018-09-01
"Aug 22, 2018",1,2018,Aug,2018-08-01
"Aug 22, 2018",1,2018,Aug,2018-08-01
"Sep 24, 2018",0,2018,Sep,2018-09-01
"Aug 19, 2018",1,2018,Aug,2018-08-01
"Aug 22, 2018",1,2018,Aug,2018-08-01
"Aug 22, 2018",1,2018,Aug,2018-08-01
"Aug 22, 2018",1,2018,Aug,2018-08-01
"Aug 21, 2018",1,2018,Aug,2018-08-01
"Aug 16, 2018",1,2018,Aug,2018-08-01
"Aug 16, 2018",1,2018,Aug,2018-08-01
"Jun 30, 2018",1,2018,Jun,2018-06-01
"Aug 19, 2018",1,2018,Aug,2018-08-01
"Aug 19, 2018",1,2018,Aug,2018-08-01
"Aug 19, 2018",1,2018,Aug,2018-08-01
"Aug 19, 2018",1,2018,Aug,2018-08-01
"Sep 1, 2018",1,2018,Sep,2018-09-01
"Aug 30, 2018",1,2018,Aug,2018-08-01
"Aug 15, 2018",1,2018,Aug,2018-08-01
"Aug 15, 2018",1,2018,Aug,2018-08-01
"Aug 29, 2018",1,2018,Aug,2018-08-01
"Aug 14, 2018",1,2018,Aug,2018-08-01
"Aug 14, 2018",1,2018,Aug,2018-08-01
"Aug 28, 2018",1,2018,Aug,2018-08-01
"Aug 24, 2018",1,2018,Aug,2018-08-01
"Aug 28, 2018",1,2018,Aug,2018-08-01
"Aug 13, 2018",1,2018,Aug,2018-08-01
"Aug 13, 2018",1,2018,Aug,2018-08-01
"Aug 12, 2018",1,2018,Aug,2018-08-01
"Aug 7, 2018",1,2018,Aug,2018-08-01
"Aug 25, 2018",1,2018,Aug,2018-08-01
"Aug 24, 2018",1,2018,Aug,2018-08-01
"Aug 9, 2018",1,2018,Aug,2018-08-01
"Aug 8, 2018",1,2018,Aug,2018-08-01
"Aug 8, 2018",1,2018,Aug,2018-08-01
"Aug 7, 2018",1,2018,Aug,2018-08-01
"Aug 7, 2018",1,2018,Aug,2018-08-01
"Aug 21, 2018",1,2018,Aug,2018-08-01
"Aug 18, 2018",1,2018,Aug,2018-08-01
"Aug 18, 2018",1,2018,Aug,2018-08-01
"Aug 3, 2018",1,2018,Aug,2018-08-01
"Aug 6, 2018",1,2018,Aug,2018-08-01
"Sep 6, 2018",0,2018,Sep,2018-09-01
"Aug 20, 2018",1,2018,Aug,2018-08-01
"Aug 19, 2018",1,2018,Aug,2018-08-01
"Aug 4, 2018",1,2018,Aug,2018-08-01
"Aug 3, 2018",1,2018,Aug,2018-08-01
"Aug 2, 2018",1,2018,Aug,2018-08-01
"Aug 15, 2018",1,2018,Aug,2018-08-01
"Jul 31, 2018",1,2018,Jul,2018-07-01
"Jul 31, 2018",1,2018,Jul,2018-07-01
"Aug 14, 2018",1,2018,Aug,2018-08-01
"Aug 14, 2018",1,2018,Aug,2018-08-01
"Jul 30, 2018",1,2018,Jul,2018-07-01
"Jul 30, 2018",1,2018,Jul,2018-07-01
"Aug 13, 2018",1,2018,Aug,2018-08-01
"Jul 25, 2018",1,2018,Jul,2018-07-01
"Aug 11, 2018",1,2018,Aug,2018-08-01
"Aug 11, 2018",1,2018,Aug,2018-08-01
"Jul 25, 2018",1,2018,Jul,2018-07-01
"Jul 27, 2018",1,2018,Jul,2018-07-01
"Jul 27, 2018",1,2018,Jul,2018-07-01
"Jul 30, 2018",1,2018,Jul,2018-07-01
"Aug 9, 2018",1,2018,Aug,2018-08-01
"Aug 4, 2018",1,2018,Aug,2018-08-01
"Jul 24, 2018",1,2018,Jul,2018-07-01
"Jul 24, 2018",1,2018,Jul,2018-07-01
"Jul 24, 2018",1,2018,Jul,2018-07-01
"Aug 7, 2018",1,2018,Aug,2018-08-01
"Aug 4, 2018",1,2018,Aug,2018-08-01
"Jul 20, 2018",1,2018,Jul,2018-07-01
"Jul 23, 2018",1,2018,Jul,2018-07-01
"Jul 22, 2018",1,2018,Jul,2018-07-01
